FR_new	EN_new	DE_new	ES_new	NL_new	SV_new	IT_new	PT_new	RO_new	PL_new	SL_new	CS_new	RU_new	BG_new	ET_new	FI_new	HU_new	NO_new
faire_V_Trans	have_Ved_Trans	lassen_V_Trans	NA	laten_V_Trans	NA	NA	NA	NA	NA	dati_V_Trans	dat_V_Trans	NA	NA	laskma_Vda_Trans	NA	NA	NA
NA	NA	NA	NA	NA	NA	fare_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	let_V_Trans	NA	NA	NA	NA	fare_V_Trans	NA	lasa_sa_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	la_V_Trans
NA	NA	NA	NA	NA	NA	fare_V_Trans	NA	NA	NA	dati_V_Trans	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	fare_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
laisser_V	let_V	lassen_V	dejar_V	laten_V	lata_V	lasciare_V	deixar_V	lasa_sa_V	pozwolic_V	pustiti_V	nechat_V	davat_V	ostavjam_da_Clause	laskma_Vda	antaa_V1st	hagy_V	la_V
NA	let_V	lassen_V_Trans_Refl	NA	NA	NA	NA	deixar_V_Trans	lasa_sa_V	NA	NA	NA	NA	NA	NA	NA	NA	la_V
NA	NA	lassen_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	paastaa_Villative	NA	NA
autoriser_a_V	let_V	lassen_V	dejar_V	NA	NA	lasciare_V	deixar_V	lasa_sa_V	NA	NA	nechat_V	razreshat_V	pozvoljavam_da_Clause	laskma_Vda	antaa_V1st	NA	la_V
laisser_V_ClauseComp	let_V_ClauseComp	lassen_V_ClauseComp	NA	laten_V_ClauseComp	NA	NA	deixar_V_ClauseComp	lasa_sa_V_ClauseComp	NA	NA	nechat_V_ClauseComp	NA	NA	NA	NA	NA	la_V_ClauseComp
NA	let_V	NA	dejar_V	laten_V	NA	lasciare_V	deixar_V	NA	NA	NA	NA	NA	NA	NA	antaa_V1st	NA	la_V
faire_V	NA	NA	NA	NA	lata_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	dejar_V	laten_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
laisser_V_Trans	NA	NA	NA	laten_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
laisser_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	laskma_Vda	NA	NA	NA
NA	NA	NA	NA	NA	lata_V	lasciare_V	NA	NA	pozwolic_V	NA	NA	NA	NA	NA	antaa_V1st	NA	NA
NA	NA	NA	NA	laten_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	deixar_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	la_V
NA	NA	NA	NA	NA	NA	NA	deixar_V_Refl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	deixar_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
autoriser_a_V_Pass	NA	NA	NA	NA	NA	NA	deixar_V	NA	NA	NA	NA	NA	pozvoljavam_da_Clause_Pass	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	deixar_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V_Trans_Refl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	lata_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	lata_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V	NA	NA	NA	NA	NA	fare_V	NA	NA	NA	NA	dat_V_Trans_Refl	NA	NA	NA	NA	NA	NA
faire_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	make_V_Trans	NA	hacer_V_Trans	NA	NA	NA	fazer_V_Trans	face_sa_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	lassen_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	allow_to_V_Trans	erlauben_zu_V_Trans	NA	NA	NA	NA	NA	permite_sa_V_Trans	pozwolic_V_Trans	NA	NA	pozvoljat_V_Trans	pozvoljavam_da_Clause_Trans	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dat_V_Trans	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	face_sa_V_ClauseComp	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V	NA	NA	NA	NA	NA	fare_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	have_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	hacer_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	fare_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	fare_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	fazer_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	let_V_Trans	lassen_V_Trans	NA	NA	NA	NA	NA	lasa_sa_V_Trans	pozwolic_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA
NA	let_V	lassen_V	dejar_V	NA	NA	NA	deixar_V	lasa_sa_V	pozwolic_V	dopustiti_V	nechat_V	pozvoljat_V	pozvoljavam_da_Clause	laskma_Vda	antaa_V1st	hagy_V	NA
NA	let_V_Trans	lassen_V_Trans	permitir_V_Trans	laten_V_Trans	lata_V_Trans	lasciare_V_Trans	deixar_V_Trans	lasa_sa_V_Trans	pozwolic_V_Trans	dovoliti_V_Trans	dovolit_V_Trans	pozvoljat_V_Trans	pozvoljavam_da_Clause_Trans	lubama_Vda_Trans	antaa_V1st_Trans	enged_V_Trans	la_V_Trans
laisser_V	let_V	lassen_V	dejar_V	laten_V	lata_V	lasciare_V	NA	lasa_sa_V	NA	NA	nechat_V	NA	NA	laskma_Vda	paastaa_Villative	hagy_V	la_V
faire_V	make_V	NA	hacer_V	NA	NA	NA	obrigar_a_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V	make_V	bringen_zu_V	NA	NA	tvinga_att_V	NA	fazer_V	face_sa_V	zmuszac_Clause	siliti_da_Clause	prinutit_aby_Clause	NA	NA	NA	NA	NA	NA
permettre_de_V_Trans_Refl	let_V_Trans_Refl	NA	permitir_V_Trans_Refl	NA	NA	permettere_di_V_Trans_Refl	NA	NA	NA	NA	dovolit_V_Trans_Refl	pozvoljat_V_Trans_Refl	pozvoljavam_da_Clause_Trans_Refl	lubama_Vda_Trans	NA	NA	la_V_Trans_Refl
